Review,Group
"['easy', 'opporate', 'pmaylist', 'match', 'foe', 'r', 'spot', 'want', 'hear']",Negative Group 93
"['ca', 'nt', 'like', 'anymore', 'song']",Negative Group 94
"['annoying', 'week', 'music', 'keep', 'stop', 'second', 'second', 'get', 'pay', 'come', 'spotify', 'i', 've', 'try', 'lot', 'trouble', 'shoot', 'log', 'device', 'change', 'password', 'restart', 'device', 'check', 'account', 'setting', 'update', 'new', 'version', 'reinstall', 'app', 'strong', 'internet', 'connection', 'clear', 'cache', 'else', 'need', 'help', 'please', 'really', 'like', 'app', 'keep', 'go', 'goodbye']",Negative Group 95
"['good', 'exact', 'app', 'look', 'star', 'give', 'many', 'ad', 'song']",Negative Group 96
"['golden', 'standard', 'get', 'premium', 'y', 'all', 'worth']",Negative Group 97
"['slowly', 'get', 'worse', 'spotify', 'get', 'super', 'buggy', 'lot', 'random', 'pause', 'disconnect', 'tacoma', 'bug', 'bad', 'start', 'play', 'music', 'without', 'know', 'could', 'pause', 'pull', 'screen', 'would', 'allow', 'pause', 'music', 'restart', 'phone']",Negative Group 98
"['like', 'app', 'forever', 'ad', 'disturb', 'pls', 'take', 'ad', 'anyone', 'money', 'ca', 'nt', 'pay', 'premium', 'like', 'everyone', 'nowadays', 'pls', 'make', 'demand', 'spotify', 'ever']",Negative Group 99
"['use', 'app', 'podcasts', 'enjoy', 'however', 'sometimes', 'medium', 'player', 'appear', 'one', 'transition', 'different', 'podcast', 'channel', 'rectify', 'relaunch', 'app', 'please', 'see', 'problem']",Negative Group 100
"['get', 'hindhi', 'ad', 'could', 'hardly', 'understand', 'ca', 'nt', 'even', 'make', 'advertisment', 'base', 'region', 'user', 'base', 'location', 'access']",Negative Group 101
"['thing', 'do', 'nt', 'like', 'ca', 'nt', 'pick', 'song', 'want', 'play', 'ca', 'nt', 'change', 'shuffle', 'play', 'play', 'first', 'song', 'last']",Negative Group 102
"['song', 'play', 'complete', 'need', 'give', 'next', 'track', 'manual']",Negative Group 103
"['do', 'nt', 'know', 'what', 's', 'go', 'app', 'i', 'm', 'encounter', 'many', 'problem', 'player', 'visible', 'nearly', 'time', 'make', 'difficult', 'never', 'use', 'problem', 'need', 'fix', 'android', 'user']",Negative Group 104
"['many', 'advertisement']",Negative Group 105
"['much', 'add', 'irritate']",Negative Group 106
"['app', 'get', 'annoying', 'ca', 'nt', 'even', 'open', 'thing', 'getting', 'stick', 'damn', 'loading', 'screen', 'wait', 'hour', 'last', 'night', 'see', 'would', 'load', 'nope', 'fix', 'damn', 'app']",Negative Group 107
"['last', 'two', 'update', 'ruin', 'app', 'turn', 'mod', 'song', 'shuffle', 'stick', 'frustrating']",Negative Group 108
"['app', 'great', 'many', 'way', 'jesus', 'glitch', 'there', 's', 'many', 'loading', 'issue', 'go', 'month', 'even', 'you', 're', 'offline', 'download', 'music', 'load', 'slow', 'doe', 'nt', 'extremely', 'annoying', 'pay', 'plan', 'doe', 'nt', 'even', 'function', 'correctly', 'please', 'fix', 'bug']",Negative Group 109
"['worst', 'everytime', 'open', 'ca', 'nt', 'play', 'song', 'say', 'internet', 'connection', 'even', 'connected', 'internet', 'work', 'phone', 'connect', 'wifi', 'that', 's', 'good']",Negative Group 110
"['purposely', 'throttle', 'app', 'make', 'unbearable', 'waste', 'time', 'use', 'unless', 'premium', 'genuine', 'disgusting', 'business', 'practice']",Negative Group 111
"['love', 'app', 'wish', 'could', 'option', 'turn', 'add', 'part', 'playlist', 'i', 'm', 'do', 'nt', 'want', 'listen', 'random', 'german', 'song', 'ca', 'nt', 'understand', 'i', 'm', 'try', 'cry', 'sleep', 'really', 'sad', 'song']",Negative Group 112
"['put', 'song', 'random', 'like', 'k', 'song', 'always', 'seem', 'one', 'play', 'like']",Negative Group 113
"['awesome', 'app', 'reduce', 'ad', 'free', 'user']",Negative Group 114
"['open', 'crash']",Negative Group 115
"['super', 'awesome', 'android']",Negative Group 116
"['extremely', 'poorly', 'optimise', 'autoplays', 'song', 'always', 'unintuitive', 'navigation', 'artist', 'album', 'release', 'etc']",Negative Group 117
"['delete', 'app', 'reinstall', 'launch', 'anymore', 'do', 'clear', 'cache', 'clear', 'data', 'force', 'stop', 'restart', 'phone', 'reinstalling', 'app', 'none', 'work', 'premiumaccnt', 'even', 'access', 'get', 'stuck', 'logo', 'open']",Negative Group 118
"['premium', 'buyer', 'read', 'b', 'u', 'buy', 'guy', 'apps', 'awesome', 'way', 'see', 'song', 'download', 'ur', 'phone', 'u', 'see', 'playlist', 'uve', 'download', 'partially', 'download', 'way', 'clear', 'space', 'either', 'delete', 'ur', 'song', 'go', 'playlist', 'playlist', 'song', 'multiple', 'playlist', 'wo', 'nt', 'delete', 'ca', 'nt', 'delete', 'individual', 'song', 'review', 'limited', 'char', 'i', 'm', 'cut', 'short', 'offline', 'mode', 'break', 'dev', 'email', 'full', 'report']",Negative Group 119
"['customer', 'service', 'terrible', 'do', 'nt', 'answer', 'email', 'back', 'customer', 'service', 'phone', 'number', 'way', 'cancel', 'subscription', 'total', 'garbage', 'help', 'want', 'monthly', 'subscription', 'cost']",Negative Group 120
"['never', 'see', 'type', 'app', 'worst', 'app', 'app', 'opening', 'first', 'did', 'nt', 'listen', 'even', 'one', 'song', 'also', 'pls', 'solve', 'problem', 'spotify']",Negative Group 121
"['go', 'music', 'keep', 'put', 'music', 'do', 'nt', 'know', 'music', 'playlist', 'like', 'fix']",Negative Group 122
"['have', 'nt', 'use', 'app', 'yet', 'doe', 'nt', 'open', 'press', 'app', 'spotify', 'pls', 'fix']",Negative Group 123
"['use', 'lite', 'version', 'j', 'instal', 'think', 'lite', 'better', 'like', 'button', 'skip', 'close', 'dislike', 'song', 'instead', 'skip', 'undo', 'option', 'u', 'search', 'also', 'crash', 'lot', 'phone', 'literally', 'tell', 'uninstall', 'bc', 'crash', 'sometines', 'player', 'also', 'dosent', 'work', 'dosent', 'background', 'player', 'like', 'lite', 'version', 'getting', 'rid', 'one', 'get', 'lite', 'version']",Negative Group 124
"['buy', 'day', 'premium', 'pack', 'still', 'get', 'ad', 'what', 's', 'point', 'spend', 'money', 'premium']",Negative Group 125
"['keep', 'crash', 'ultra']",Negative Group 126
"['mean', 'tell', 'order', 'listen', 'song', 'want', 'mobile', 'random', 'song', 'play', 'instead', 'require', 'pay', 'premium', 'yeah', 'one', 'star', 'go', 'back', 'youtube']",Negative Group 127
"['way', 'many', 'ad', 'always', 'annoy', 'ffs']",Negative Group 128
"['app', 'extremely', 'glitchy', 'think', 'phone', 'andor', 'poor', 'internet', 'nope', 'read', 'post', 'see', 'experience', 'others', 'much', 'add', 'premium', 'account', 'thank', 'pretty', 'much', 'still', 'glitchy', 'still', 'premium', 'upgrade', 'desire', 'thanks', 'though']",Negative Group 129
"['wish', 'would', 'cycle', 'song', 'play', 'list', 'playing', 'song', 'herd']",Negative Group 130
